Fiscal Year,Related Govt Units,Organization Group Code,Organization Group,Department Code,Department,Program Code,Program,Character Code,Character,Object Code,Object,Sub-object Code,Sub-object,Fund Type Code,Fund Type,Fund Code,Fund,Fund Category Code,Fund Category,Purchase Order,Supplier & Other Non-Supplier Payees,Vouchers Paid,Vouchers Pending,Encumbrance Balance,Vouchers Pending Retainage,data_as_of,data_loaded_at,Non-Profit Indicator,Contract Number,Contract Title,Purchase Order Date,Purchasing Authority Description
2015,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,543,Equipment Maintenance Supplies,543210,Rail Vehicle Supplies,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPMT1500370802,MALLORY SAFETY & SUPPLY LLC,0.0,240.77,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",DBI,DBI Building Inspection,BAN,Administration/Support Services,521,Non Personnel Services,531,Rents & Leases-Equipment,531310,Office Machine Rental,2S,Special Revenue Funds,2SBIF,Building Inspection Fund,1.0,Operating,DPBI1500001801,MAILFINANCE INC,1643.62,149.42,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,EIB,Library Administration,521,Non Personnel Services,527,Profess & Specialized Svcs,527040,Construction Contracts,2S,Special Revenue Funds,2SLIB,Public Library Fund,3.0,Continuing Projects,Direct Payments,KCK BUILDERS INC,4452.9,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDK,Water Transmission/ Distribution,540,Materials & Supplies,543,Equipment Maintenance Supplies,543310,Vehicle Parts-Supplies,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1500215203,KIMBALL MIDWEST,78.35,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,4,Community Health,DPH,DPH Public Health,DBG,Laguna Honda Hosp - Acute Care,540,Materials & Supplies,543,Equipment Maintenance Supplies,543990,Other Equipment Maint Supplies,5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1.0,Operating,DPHL1500040601,HOSPITAL ASSOCIATES,5667.36,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG9,Planning Division,540,Materials & Supplies,549,Other Materials & Supplies,549750,Books - Non Library Only,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1.0,Operating,DPAC1500157801,LOCAL GOVERNMENT PUBLICATIONS,97.43,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,4,Community Health,DPH,DPH Public Health,D1H,SFGH - Acute Care - Hospital,521,Non Personnel Services,529,Maintenance Svcs-Equipment,529410,Medical Equip Maint,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1.0,Operating,DPHG1500139901,DATEX-OHMEDA,0.0,0.0,,2050.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,BDP,Wastewater Capital Projects,521,Non Personnel Services,535,Other Current Expenses,535210,Freight-Delivery,5C,PUC Wastewater Funds,5CCPF,Wastewater Capital Projects Fund,3.0,Continuing Projects,DPWP1500110402,SIMONDS MACHINERY CO,65.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDA,Administration,521,Non Personnel Services,535,Other Current Expenses,535990,Other Current Expenses,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1500593501,TROPHY MASTERS,0.0,70.53,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDA,Administration,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH1500030901,WRIGHTS TIRE SERVICE,989.06,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFN,Immigrant And Language Services,521,Non Personnel Services,527,Profess & Specialized Svcs,527990,Other Professional Services,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPAD1500052901,DOLORES STREET COMMUNITY SERVICES INC,260000.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,543,Equipment Maintenance Supplies,543310,Vehicle Parts-Supplies,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPK1500042602,T & S TRADING & ENTERPRISE CO,3871.5,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BAR,Building Repair And Maintenance,540,Materials & Supplies,542,Building & Constructn Supplies,542810,Small Tools And Intruments,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5.0,Work Orders/Overhead,DPBR1500061701,X-ERGON CORP,128.33,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",ECN,ECN Economic & Wrkfrce Dvlpmnt,BL1,Workforce Training,538,City Grant Programs,538,City Grant Programs,538010,Community Based Org Srvcs,2S,Special Revenue Funds,2SCDB,Community Development Fund,4.0,Grants,DPBE1400004402,TOOLWORKS INC,77357.97,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,BCV,Strategic Planning/Compliance,521,Non Personnel Services,527,Profess & Specialized Svcs,527510,Management Consulting Services,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1.0,Operating,DPWP1400137201,F E JORDAN ASSOCIATES INC,10023.43,0.0,,1.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,521,Non Personnel Services,527,Profess & Specialized Svcs,527990,Other Professional Services,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPMT1500368201,T & S TRADING & ENTERPRISE CO,0.0,0.0,,9993.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,3,Human Welfare & Neighborhood Development,CHF,CHF Children;Youth & Families,FAL,Children's Baseline,538,City Grant Programs,538,City Grant Programs,538010,Community Based Org Srvcs,1G,General Fund,1GAGF,General Fund,2.0,Annual Projects,DPCH1500013001,HEARING & SPEECH CENTER OF NORTHERN CALI,26514.24,8994.79,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FEQ,Grants For The Arts,538,City Grant Programs,538,City Grant Programs,538010,Community Based Org Srvcs,2S,Special Revenue Funds,2SCRF,Culture & Recreation Fund,1.0,Operating,DPAD1500031601,QUEER WOMEN OF COLOR MEDIA ARTS PROJECT,20000.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BE7,Capital Programs & Construction,521,Non Personnel Services,532,Utilities,532110,Elec Heat Water,5M,MTA Municipal Railway Funds,5MCPF,Muni Capital Projects Fund,3.0,Continuing Projects,Direct Payments,PACIFIC GAS & ELECTRIC CO,15138.84,12007.66,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BAR,Building Repair And Maintenance,540,Materials & Supplies,542,Building & Constructn Supplies,542980,Other Construction Materials,1G,General Fund,1GAGF,General Fund,5.0,Work Orders/Overhead,DPBR1500051901,"GOLDENGATE DOOR & WINDOW, INC",677.5,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BKJ,General Administration,521,Non Personnel Services,535,Other Current Expenses,535520,Printing,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5.0,Work Orders/Overhead,DPGA1500007501,NORCAL PRINTING INC,4038.75,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,5,Culture & Recreation,LIB,LIB Public Library,EGH,Facilites,540,Materials & Supplies,542,Building & Constructn Supplies,542210,Hardware,2S,Special Revenue Funds,2SLIB,Public Library Fund,1.0,Operating,DPLB1500010001,HARRISON & BONINI INC,1429.63,2566.61,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BE3,"Security, Safety, Training & Enforcement",521,Non Personnel Services,535,Other Current Expenses,535810,Advertising,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5.0,Work Orders/Overhead,Direct Payments,DAILY JOURNAL CORPORATION,92.06,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDK,Water Transmission/ Distribution,540,Materials & Supplies,549,Other Materials & Supplies,549990,Other Materials & Supplies,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH1500158201,PAPE MACHINERY INC,0.0,0.0,,2257.5,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDK,Water Transmission/ Distribution,540,Materials & Supplies,543,Equipment Maintenance Supplies,543310,Vehicle Parts-Supplies,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH1500148201,SIERRA HEAVY DUTY PARTS & SERVICE,728.11,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",PRT,PRT Port,BKO,Administration,540,Materials & Supplies,549,Other Materials & Supplies,549750,Books - Non Library Only,5P,Port Of San Francisco Funds,5PAAA,Port Operating Fund,1.0,Operating,DPPO1500059001,BUILDERS BOOKSOURCE,176.33,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BCP,Hetch Hetchy Capital Projects,538,City Grant Programs,538,City Grant Programs,538100,PUC Solar Incentive Program,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,3.0,Continuing Projects,Direct Payments,MICHAEL S KWUN,2650.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,5,Culture & Recreation,REC,REC Recreation & Park Commsn,EIA,Rec & Park Administration,540,Materials & Supplies,545,Safety,545990,Other Safety Expenses,1G,General Fund,1GOHF,Overhead Fund,5.0,Work Orders/Overhead,DPRP1500140901,THE URBAN FARMER STORE INC,95.92,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,5,Culture & Recreation,LIB,LIB Public Library,EGD,Collection Technical Services,540,Materials & Supplies,549,Other Materials & Supplies,549740,Audio-Video - Library Only,2S,Special Revenue Funds,2SLIB,Public Library Fund,1.0,Operating,DPLB1400007702,THE BOOK HOUSE INC,17016.84,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,1,Public Protection,DAT,DAT District Attorney,AIA,Felony Prosecution,521,Non Personnel Services,535,Other Current Expenses,535710,Subscriptions,2S,Special Revenue Funds,2SPPF,Public Protection Fund,3.0,Continuing Projects,ENDA1400000302,LEXISNEXIS MATTHEW BENDER,286.68,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,4,Community Health,DPH,DPH Public Health,DMM,Mental Health - Community Care,521,Non Personnel Services,527,Profess & Specialized Svcs,527890,Other Medical Services,1G,General Fund,1GAGF,General Fund,3.0,Continuing Projects,Direct Payments,LEE SCHUSTER,4655.6,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BAZ,Street Environmental Services,540,Materials & Supplies,544,Hospital;Clinic & Lab Supplies,544930,Cleaning Supplies,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPSE1500042901,SUPERCO SPECIALTY PRODUCTS,0.0,686.34,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,BCI,Water Capital Projects,521,Non Personnel Services,527,Profess & Specialized Svcs,527060,Construction Contingency,5W,PUC Water Department Funds,5WCPF,Water Capital Projects Fund,,,ENUW1200000203,DRAGADOS USA/FLATIRON WEST/SUKUT CNST JV,0.0,0.0,,13540167.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,JENNY L CHEUNG,145.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BAR,Building Repair And Maintenance,540,Materials & Supplies,542,Building & Constructn Supplies,542980,Other Construction Materials,1G,General Fund,1GAGF,General Fund,5.0,Work Orders/Overhead,DPBR1500231801,PEACOCK INTERIORS & GALLERY INC,0.0,924.38,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,BDC,Wastewater Treatment,540,Materials & Supplies,543,Equipment Maintenance Supplies,543990,Other Equipment Maint Supplies,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1.0,Operating,DPWP1400011101,INDUSTRIAL SAFETY SUPPLY CORP,1288.72,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDM,Water Treatment,540,Materials & Supplies,544,Hospital;Clinic & Lab Supplies,544310,Laboratory Supplies,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1500510401,EVANTEC CORP,0.0,2453.5,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BE2,Parking & Traffic,521,Non Personnel Services,527,Profess & Specialized Svcs,527040,Construction Contracts,5N,MTA Parking & Traffic Funds,5NCPF,Parking & Traffic Capital Projects Fund,4.0,Grants,ENEN1500002602,PRECISION ENGINEERING INC,0.0,76767.43,,301217.18,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BE1,Administration,521,Non Personnel Services,525,Entertainment And Promotion,525010,Promotional & Entertainmnt Exp,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,5.0,Work Orders/Overhead,Direct Payments,SPUR,8500.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFJ,Vehicle & Equipment Main & Fueling,540,Materials & Supplies,543,Equipment Maintenance Supplies,543310,Vehicle Parts-Supplies,6I,Internal Service Funds,6ICSF,Central Shops Fund,1.0,Operating,DPPR1500024301,STAN'S STAMPS & SIGNS,263.56,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,5,Culture & Recreation,REC,REC Recreation & Park Commsn,EAP,Parks,540,Materials & Supplies,549,Other Materials & Supplies,549110,Agricultural Supplies,2S,Special Revenue Funds,2SGOL,Golf Fund,3.0,Continuing Projects,DPRP1500151002,WILBUR-ELLIS COMPANY,1587.73,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,6,General Administration & Finance,MYR,MYR Mayor,FEA,City Administration,521,Non Personnel Services,535,Other Current Expenses,535510,Copy Machine,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPMY1500001101,RICOH USA INC,518.42,0.0,,481.58,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDK,Water Transmission/ Distribution,540,Materials & Supplies,542,Building & Constructn Supplies,542810,Small Tools And Intruments,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH1500165601,GRAINGER,574.61,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BCP,Hetch Hetchy Capital Projects,521,Non Personnel Services,535,Other Current Expenses,535210,Freight-Delivery,5T,PUC Hetch Hetchy Funds,5TCPF,Hetch Hetchy Capital Projects Fund,3.0,Continuing Projects,POUH1500001402,LUMINALT ENERGY CORP,0.01,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFI,Real Estate Services,521,Non Personnel Services,528,Maint Svcs-Building&Structures,528990,Other Bldg Maint Svcs,2S,Special Revenue Funds,2SRPF,Real Property Fund,3.0,Continuing Projects,DPRE1500025901,CALIFORNIA DIESEL & POWER,1251.47,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDM,Water Treatment,540,Materials & Supplies,543,Equipment Maintenance Supplies,543310,Vehicle Parts-Supplies,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1400141501,BIG SKY ENTERPRISES,225.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,6,General Administration & Finance,MYR,MYR Mayor,FAB,Community Investment,538,City Grant Programs,538,City Grant Programs,538010,Community Based Org Srvcs,1G,General Fund,1GAGF,General Fund,2.0,Annual Projects,DPMO1400006501,NIHONMACHI LEGAL OUTREACH DBA API LEGAL,11155.15,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BCP,Hetch Hetchy Capital Projects,521,Non Personnel Services,527,Profess & Specialized Svcs,527510,Management Consulting Services,5T,PUC Hetch Hetchy Funds,5TCPF,Hetch Hetchy Capital Projects Fund,3.0,Continuing Projects,DPUH1400250210,M W H AMERICAS INC,0.0,0.0,,5000.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,6,General Administration & Finance,CON,CON Controller,FEB,"Management, Budget And Analysis",521,Non Personnel Services,535,Other Current Expenses,535510,Copy Machine,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPCO1500023701,XEROX CORPORATION,0.0,0.0,,6000.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,5,Culture & Recreation,WAR,WAR War Memorial,EED,Operations & Maintenance,540,Materials & Supplies,542,Building & Constructn Supplies,542990,Other Bldg Maint Supplies,2S,Special Revenue Funds,2SWMF,War Memorial Fund,1.0,Operating,DPWM1500019201,EWING IRRIGATION PRODUCTS INC,2357.27,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,BDA,Administration,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1.0,Operating,DPWP1400196902,GRAINGER,422.12,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BKJ,General Administration,521,Non Personnel Services,529,Maintenance Svcs-Equipment,529110,Dp-Wp Equipment Maint,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5.0,Work Orders/Overhead,POGA1500008101,XTECH,1435.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDJ,Water Source Of Supply,521,Non Personnel Services,527,Profess & Specialized Svcs,527020,Engineering Services,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1500493401,NORTHGATE AGS JOINT VENTURE,0.0,2562.42,,35102.51,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,542,Building & Constructn Supplies,542110,Electrical,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPMT1500016301,MALTBY ELECTRIC SUPPLY CO INC,1493.58,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,BCU,Engineering,521,Non Personnel Services,527,Profess & Specialized Svcs,527510,Management Consulting Services,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1.0,Operating,DPUC1500081101,MCK AMERICAS INC,0.0,0.0,,99963.85,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2015,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFJ,Vehicle & Equipment Main & Fueling,521,Non Personnel Services,529,Maintenance Svcs-Equipment,529210,Veh Maint (Non Central Shops),6I,Internal Service Funds,6ICSF,Central Shops Fund,1.0,Operating,DPPR1500070601,GILMORE SERVICES,0.0,4450.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,6,General Administration & Finance,CON,CON Controller,FDO,City Services Auditor,540,Materials & Supplies,549,Other Materials & Supplies,549210,Data Processing Supplies,1G,General Fund,1GAGF,General Fund,5.0,Work Orders/Overhead,POCO1500005702,XTECH,814.54,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,1,Public Protection,DAT,DAT District Attorney,AIE,Work Orders & Grants,521,Non Personnel Services,527,Profess & Specialized Svcs,527610,Systems Consulting Services,2S,Special Revenue Funds,2SPPF,Public Protection Fund,4.0,Grants,PODA1600002701,XTECH,3427.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,CAO,Administrative Support,521,Non Personnel Services,527,Profess & Specialized Svcs,527990,Other Professional Services,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPSS1600190101,PLUS M PRODUCTIONS,0.0,0.0,,7875.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,1,Public Protection,FIR,FIR Fire Department,AGE,Fire General,521,Non Personnel Services,529,Maintenance Svcs-Equipment,529990,Other Equip Maint,1G,General Fund,1GAGF,General Fund,3.0,Continuing Projects,DPFC1600005801,ALBERT ELECTRIC,2219.02,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,BCU,Engineering,540,Materials & Supplies,549,Other Materials & Supplies,549410,Minor Furnishings,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1.0,Operating,DPUC1600024401,ARRANGED4COMFORT,1841.21,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDA,Administration,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1600427601,R & B COMPANY,9052.5,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,4,Community Health,DPH,DPH Public Health,DMM,Mental Health - Community Care,521,Non Personnel Services,535,Other Current Expenses,535520,Printing,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPHM1500037201,ASIAN NEIGHBORHOOD DESIGN,795.63,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,DENNIS A ODONNELL,330.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFH,Facilities Mgmt & Operations,540,Materials & Supplies,542,Building & Constructn Supplies,542990,Other Bldg Maint Supplies,2S,Special Revenue Funds,2SRPF,Real Property Fund,3.0,Continuing Projects,DPRE1600116101,SANTORA SALES,0.0,0.0,,72.88,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,JOHN PHILIP BRIONES  ANGELES,142.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,521,Non Personnel Services,535,Other Current Expenses,535990,Other Current Expenses,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPMT1600370304,ALL AMERICAN RENTALS INC,25.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2016,No,4,Community Health,DPH,DPH Public Health,D1H,SFGH - Acute Care - Hospital,540,Materials & Supplies,549,Other Materials & Supplies,549410,Minor Furnishings,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1.0,Operating,Direct Payments,ARMSTRONG MEDICAL INDUSTRIES INC,17635.13,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
